ID,Name,Type_ID
1,ab roller,2
2,axles,1
3,barbells,1
4,cables,1
5,chains,1
6,collars,1
7,dumbbels,
8,elastic bands,1
9,elliptical,3
10,farmerâ€™s walk handles,1
11,grippers,1
12,hammers,1
13,head/neck harness,1
14,jump ropes,2
15,kegs,1
16,kettlebells,
17,limb weights,2
18,logs,1
19,medicine balls,2
20,parallel bars,2
21,parallets,2
22,peg board ,2
23,pull-up bar,2
24,pull-up belt,2
25,ropes,2
26,rowers,1
27,sandbags,1
28,sleds,1
29,stair machine,3
30,stepper,3
31,stones,1
32,swiss balls,2
33,treadmill,3
34,TRX,2
35,wall bars,3
36,weight machine,1
37,weight plates,1
38,weighted vest,2
39,yokes,1
40,bench,1
41,ez  bar,1