ID,Name,Group
1,rectus abdominus,abdominals
2,sartorius muscle,abductors
3,musculus adductor longus,adductors
4,musculus biceps brachii,biceps
5,"gastrocnemius, soleus, and plantaris",calves
6,pectoralis major,chest
7,antebrachium,forearms
8,gluteus maximus,glutes
9,"semimembranosus, semitendinosus, and biceps femoris",hamstrings
10,latissimus dorsi,lats
11,dorsum humanum,lower back
12,dorsum humanum,middle back
13,"cervix, collum",neck
14,quadriceps femoris,quadriceps
15,articulatio humeri,shoulders
16,trapezius,traps
17,triceps brachii,triceps